part.str,Type,k
CCG 2,STR,0.065397364
CCG 3,STR,0.015651702
CCG 4,STR,0.007668422
CIA 2,STR,0.098293411
CIA 3,STR,0.116443941
CIA 5,STR,0.082698262
CIA 6,STR,0.103276903
CIA 7,STR,0.008224147
CIA 8,STR,0.177758682
CJP 1,STR,0.007752762
CJP 2,STR,0.010463304
CJP 3,STR,0.064493759
CJP 4,STR,0.078041317
CL 1,STR,0.026733218
CL 2,STR,0.070353675
CL 3,STR,0.053761599
CL 4,STR,0.080234291
CLAR 1,STR,0.009885772
CLAR 2,STR,0.008451419
CLAR 3,STR,0.008677228
CLAR 4,STR,0.009016394
CPW 1,STR,0.138992606
CPW 2,STR,0.123101288
CPW 3,STR,0.121731697
CPW 4,STR,0.101589441
CR 1,STR,0.0091108
CR 2,STR,0.006967407
CR 3,STR,0.009386078
CR 4,STR,0.005702578
CS 1,STR,0.026619927
CS 2,STR,0.048003629
CS 3,STR,0.012040088
CS 4,STR,0.030953303
CVB 1,STR,0.002823471
CVB 2,STR,0.070286033
CVB 3,STR,0.05952418
CVB 4,STR,0.032421317
CYO 1,STR,0.008040962
CYO 2,STR,0.018418919
CYO 3,STR,0.013802667
CYO 4,STR,0.011931986
DAAL 1,STR,0.017720116
DAAL 2,STR,0.020207208
DAAL 3,STR,0.016838601
DAAL 4,STR,0.033171245
DACO 1,STR,0.042437999
DACO 2,STR,0.018475396
DACO 3,STR,0.031860777
DACO 4,STR,0.073028976
DAGI 2,STR,0.050935184
DAGI 3,STR,0.038923337
DAGI 4,STR,0.066501632
DEBR 1,STR,0.002145363
DEBR 2,STR,0.002669252
DEBR 3,STR,0.003555955
DEBR 4,STR,0.004732439
DJ 1,STR,0.007979793
DJ 2,STR,0.003527387
DJ 3,STR,0.002419134
DJ 4,STR,0.003102875
EC 1,STR,0.008402769
EC 2,STR,0.005160804
EC 3,STR,0.004929149
EC 4,STR,0.005831145
ED 1,STR,0.056885785
ED 2,STR,0.006693771
ED 3,STR,0.038274068
ED 4,STR,0.019658493
EG 1,STR,0.026111399
EG 2,STR,0.01941097
EG 3,STR,0.042128408
EG 4,STR,0.027434082
EP 1,STR,0.026715663
EP 2,STR,0.049861282
EP 4,STR,0.053282992
EQ 1,STR,0.033304175
EQ 2,STR,0.003515195
EQ 3,STR,0.003407765
EQ 4,STR,0.003162623
FB 1,STR,0.027523039
FB 2,STR,0.009385732
FB 3,STR,0.011388799
FB 4,STR,0.021489804
FC 1,STR,0.00325187
FC 2,STR,0.055286639
FC 3,STR,0.01231804
FG 1,STR,0.088936162
FG 2,STR,0.038637002
FG 3,STR,0.078014159
FG 4,STR,0.083103455
FM 1,STR,0.088312333
FM 2,STR,0.009929551
FM 3,STR,0.041810215
FM 4,STR,0.012621872
FRGU 1,STR,0.025747978
FRGU 2,STR,0.01456567
FRGU 3,STR,0.057069106
FRGU 4,STR,0.054952109
GESI 1,STR,0.110175529
GESI 2,STR,0.080864251
GESI 3,STR,0.03774121
GR 1,STR,0.003257291
GR 2,STR,0.012287703
GR 3,STR,0.021859386
GS 1,STR,0.161208934
GS 2,STR,0.076480985
GS 4,STR,0.085582108
HL 1,STR,0.002016992
HL 2,STR,0.002960216
HL 3,STR,0.002459027
HL 4,STR,0.002640938
HPG 1,STR,0.017785014
HPG 2,STR,0.020930627
HPG 3,STR,0.057553723
HPG 4,STR,0.004876395
IP 1,STR,0.030516373
IP 2,STR,0.002885636
IP 3,STR,0.003366089
IP 4,STR,0.008268968
JA 1,STR,0.015615538
